timestamp_seconds,latitude,longitude
0.0,20.296100,85.824500
1.0,20.296106,85.824508
2.0,20.296112,85.824516
3.0,20.296118,85.824524
4.0,20.296124,85.824532
5.0,20.296130,85.824540
6.0,20.296136,85.824548
7.0,20.296142,85.824556
8.0,20.296148,85.824564
9.0,20.296154,85.824572
10.0,20.296160,85.824580
11.0,20.296166,85.824588
12.0,20.296172,85.824596
13.0,20.296178,85.824604
14.0,20.296184,85.824612
15.0,20.296190,85.824620
16.0,20.296196,85.824628
17.0,20.296202,85.824636
18.0,20.296208,85.824644
19.0,20.296214,85.824652
20.0,20.296220,85.824660
21.0,20.296226,85.824668
22.0,20.296232,85.824676
23.0,20.296238,85.824684
24.0,20.296244,85.824692
25.0,20.296250,85.824700
26.0,20.296256,85.824708
27.0,20.296262,85.824716
28.0,20.296268,85.824724
29.0,20.296274,85.824732
30.0,20.296280,85.824740
31.0,20.296286,85.824748
32.0,20.296292,85.824756
33.0,20.296298,85.824764
34.0,20.296304,85.824772
35.0,20.296310,85.824780
36.0,20.296316,85.824788
37.0,20.296322,85.824796
38.0,20.296328,85.824804
39.0,20.296334,85.824812
40.0,20.296340,85.824820
41.0,20.296346,85.824828
42.0,20.296352,85.824836
43.0,20.296358,85.824844
44.0,20.296364,85.824852
45.0,20.296370,85.824860
46.0,20.296376,85.824868
47.0,20.296382,85.824876
48.0,20.296388,85.824884
49.0,20.296394,85.824892
50.0,20.296400,85.824900
51.0,20.296406,85.824908
52.0,20.296412,85.824916
53.0,20.296418,85.824924
54.0,20.296424,85.824932
55.0,20.296430,85.824940
56.0,20.296436,85.824948
57.0,20.296442,85.824956
58.0,20.296448,85.824964
59.0,20.296454,85.824972
60.0,20.296460,85.824980
61.0,20.296466,85.824988
62.0,20.296472,85.824996
63.0,20.296478,85.825004
64.0,20.296484,85.825012
65.0,20.296490,85.825020
66.0,20.296496,85.825028
67.0,20.296502,85.825036
68.0,20.296508,85.825044
69.0,20.296514,85.825052
70.0,20.296520,85.825060
71.0,20.296526,85.825068
72.0,20.296532,85.825076
73.0,20.296538,85.825084
74.0,20.296544,85.825092
75.0,20.296550,85.825100
76.0,20.296556,85.825108
77.0,20.296562,85.825116
78.0,20.296568,85.825124
79.0,20.296574,85.825132
80.0,20.296580,85.825140
81.0,20.296586,85.825148
82.0,20.296592,85.825156
83.0,20.296598,85.825164
84.0,20.296604,85.825172
85.0,20.296610,85.825180
86.0,20.296616,85.825188
87.0,20.296622,85.825196
88.0,20.296628,85.825204
89.0,20.296634,85.825212
90.0,20.296640,85.825220
